0.95,377,8,2612.42,15.3071%
0.95,507,7,2602.88,15.2512%
0.95,591,15,2542.92,14.8999%
0.95,576,11,2481.08,14.5376%
0.95,579,10,2371.74,13.8969%
0.95,499,9,2363.77,13.8502%
0.95,446,4,2264.55,13.2689%
0.95,578,15,2187.08,12.8149%
0.95,507,8,2175.65,12.7479%
0.95,566,15,2144.32,12.5644%
0.95,579,4,2124.67,12.4492%
0.95,77,5,2117.14,12.4051%
0.95,579,9,2107.44,12.3483%
0.95,587,15,2056.89,12.0521%
0.95,367,9,2004.26,11.7437%
0.95,585,3,1960.09,11.4849%
0.95,585,7,1840.66,10.7851%
0.95,350,15,1834.34,10.7481%
0.95,579,8,1818.33,10.6543%
0.95,77,6,1764.67,10.3398%
0.95,585,5,1763.16,10.331%
0.95,367,7,1760.76,10.317%
0.95,453,10,1752.6,10.2691%
0.95,575,7,1751.12,10.2605%
0.95,507,5,1694.64,9.92952%
0.95,569,14,1682.95,9.86106%
0.95,455,13,1654.01,9.69145%
0.95,304,6,1641.56,9.61854%
0.95,583,14,1626.81,9.53212%
0.95,589,5,1603.75,9.39697%
0.95,595,15,1587.54,9.30196%
0.95,568,2,1574.37,9.22485%
0.95,30,1,1534.86,8.99332%
0.95,585,11,1534.46,8.99098%
0.95,566,14,1521.87,8.91722%
0.95,577,11,1508.61,8.83953%
0.95,77,4,1502.56,8.80404%
0.95,600,14,1488.12,8.71947%
0.95,579,11,1483.67,8.69338%
0.95,499,4,1445.35,8.46882%
0.95,576,10,1415.79,8.29565%
0.95,575,6,1414.79,8.28981%
0.95,350,5,1413.4,8.28161%
0.95,552,4,1410.39,8.26398%
0.95,30,14,1406.09,8.23884%
0.95,556,5,1385.14,8.11608%
0.95,552,1,1333.39,7.81281%
0.95,350,13,1325.29,7.76538%
0.95,526,13,1314.75,7.70361%
0.95,575,11,1304.18,7.64169%
0.95,569,10,1297.99,7.6054%
0.95,377,9,1297.63,7.60332%
0.95,446,3,1293.37,7.57834%
0.95,576,1,1292.34,7.57231%
0.95,350,4,1263.35,7.40246%
0.95,577,12,1259.17,7.37794%
0.95,549,14,1248.53,7.31559%
0.95,350,14,1247.63,7.31035%
0.95,355,14,1245.24,7.29632%
0.95,377,7,1229.23,7.20255%
0.95,511,7,1223.36,7.16811%
0.95,350,11,1192.92,6.98978%
0.95,585,6,1191.76,6.98295%
0.95,446,6,1185.4,6.94567%
0.95,499,5,1180.63,6.91775%
0.95,286,5,1174.07,6.87929%
0.95,552,2,1173.45,6.87568%
0.95,552,3,1157.89,6.78453%
0.95,549,5,1154.78,6.76628%
0.95,499,13,1138.72,6.67221%
0.95,518,13,1124.59,6.58939%
0.95,507,6,1119.56,6.55994%
0.95,487,2,1117.77,6.54943%
0.95,575,12,1104.67,6.47266%
0.95,577,9,1092.39,6.40073%
0.95,439,12,1090.11,6.38735%
0.95,565,2,1083.67,6.34961%
0.95,501,1,1076.8,6.30937%
0.95,567,11,1065.21,6.24149%
0.95,453,13,1062.28,6.2243%
0.95,377,10,1060.6,6.21446%
0.95,526,4,1059.9,6.21033%
0.95,569,4,1055.07,6.18205%
0.95,549,4,1054.93,6.18125%
0.95,565,1,1047.28,6.13638%
0.95,578,12,1030.29,6.03687%
0.95,77,12,1016.19,5.95421%
0.95,90,2,1013.75,5.93994%
0.95,577,15,1006.26,5.89603%
0.95,578,14,994.609,5.82779%
0.95,303,13,981.745,5.75241%
0.95,586,6,972.823,5.70013%
0.95,286,7,970.634,5.68731%
0.95,377,14,960.58,5.6284%
0.95,415,10,957.169,5.60841%
0.95,586,11,949.021,5.56067%
0.95,286,11,944.625,5.53492%
0.95,569,12,928.049,5.43779%
0.95,600,1,925.79,5.42455%
0.95,552,10,922.951,5.40791%
0.95,156,11,911.51,5.34088%
0.95,595,13,903.202,5.2922%
0.95,552,8,902.28,5.2868%
0.95,456,1,885.58,5.18895%
0.95,507,9,874.959,5.12671%
0.95,588,4,872.387,5.11164%
0.95,304,1,871.477,5.10631%
0.95,30,10,870.901,5.10294%
0.95,530,1,863.708,5.06079%
0.95,597,2,847.708,4.96704%
0.95,585,4,845.119,4.95187%
0.95,585,12,838.593,4.91363%
0.95,446,9,837.716,4.90849%
0.95,446,12,823.901,4.82755%
0.95,150,10,823.782,4.82685%
0.95,579,1,821.802,4.81525%
0.95,371,6,821.765,4.81503%
0.95,453,5,819.852,4.80382%
0.95,569,2,812.844,4.76276%
0.95,560,3,812.14,4.75863%
0.95,507,10,811.844,4.7569%
0.95,576,4,803.354,4.70715%
0.95,252,1,802.877,4.70435%
0.95,377,12,801.502,4.6963%
0.95,309,4,788.881,4.62235%
0.95,526,10,783.321,4.58977%
0.95,454,9,773.346,4.53132%
0.95,577,13,764.292,4.47827%
0.95,499,14,758.329,4.44334%
0.95,135,8,746.424,4.37358%
0.95,538,4,741.658,4.34565%
0.95,499,12,741.432,4.34433%
0.95,583,3,740.971,4.34163%
0.95,456,3,737.918,4.32374%
0.95,321,2,736.103,4.3131%
0.95,10,4,730.951,4.28291%
0.95,251,7,730.914,4.2827%
0.95,508,8,718.737,4.21135%
0.95,455,11,714.716,4.18779%
0.95,591,3,714.284,4.18526%
0.95,453,9,713.926,4.18316%
0.95,552,11,706.453,4.13937%
0.95,556,6,704.375,4.12719%
0.95,585,13,703.004,4.11916%
0.95,522,6,702.712,4.11745%
0.95,567,14,701.424,4.10991%
0.95,549,13,700.477,4.10436%
0.95,499,11,698.679,4.09382%
0.95,350,3,691.173,4.04984%
0.95,214,1,690.222,4.04427%
0.95,8,9,683.173,4.00297%
0.95,144,13,683.074,4.00239%
0.95,81,7,682.658,3.99995%
0.95,130,1,681.65,3.99404%
0.95,526,11,680.774,3.98891%
0.95,83,9,680.42,3.98683%
0.95,375,11,679.881,3.98368%
0.95,556,12,679.198,3.97967%
0.95,552,7,677.025,3.96694%
0.95,580,11,675.786,3.95968%
0.95,507,4,674.827,3.95407%
0.95,585,8,673.189,3.94447%
0.95,350,6,671.864,3.9367%
0.95,552,6,650.35,3.81064%
0.95,276,5,637.086,3.73293%
0.95,148,11,635.625,3.72437%
0.95,144,12,635.465,3.72343%
0.95,552,13,635.387,3.72297%
0.95,599,8,634.918,3.72022%
0.95,81,8,633.893,3.71422%
0.95,590,4,632.189,3.70423%
0.95,578,2,626.518,3.67101%
0.95,589,9,623.041,3.65063%
0.95,251,1,621.432,3.6412%
0.95,582,4,620.387,3.63508%
0.95,595,1,620.292,3.63452%
0.95,569,15,618.383,3.62334%
0.95,380,11,617.732,3.61953%
0.95,507,14,617.247,3.61668%
0.95,569,9,608.424,3.56498%
0.95,556,13,607.728,3.56091%
0.95,558,9,604.56,3.54234%
0.95,574,3,600.214,3.51688%
0.95,341,9,590.535,3.46017%
0.95,566,13,585.272,3.42933%
0.95,174,14,582.025,3.4103%
0.95,369,13,581.082,3.40478%
0.95,350,7,580.782,3.40302%
