1,570,1,3580,22.0988%
1,579,3,3546,21.8889%
1,577,12,3457,21.3395%
1,577,10,3454,21.321%
1,576,12,3398,20.9753%
1,579,9,3350,20.679%
1,552,10,3232,19.9506%
1,565,5,3180,19.6296%
1,591,5,3170,19.5679%
1,576,1,3155,19.4753%
1,566,1,3154,19.4691%
1,565,1,3072,18.963%
1,570,3,3055,18.858%
1,565,2,3037,18.7469%
1,566,8,3004,18.5432%
1,552,9,2998,18.5062%
1,552,8,2934,18.1111%
1,552,2,2915,17.9938%
1,576,11,2910,17.963%
1,585,5,2900,17.9012%
1,576,7,2890,17.8395%
1,575,6,2841,17.537%
1,30,13,2816,17.3827%
1,578,7,2813,17.3642%
1,579,8,2789,17.216%
1,585,9,2768,17.0864%
1,156,7,2757,17.0185%
1,591,2,2747,16.9568%
1,570,2,2724,16.8148%
1,30,1,2695,16.6358%
1,577,11,2693,16.6235%
1,377,14,2653,16.3765%
1,565,12,2644,16.321%
1,565,11,2618,16.1605%
1,380,11,2547,15.7222%
1,252,1,2537,15.6605%
1,304,6,2533,15.6358%
1,539,4,2523,15.5741%
1,569,10,2505,15.463%
1,591,4,2493,15.3889%
1,579,1,2467,15.2284%
1,578,3,2466,15.2222%
1,597,13,2462,15.1975%
1,355,14,2461,15.1914%
1,565,9,2459,15.179%
1,447,1,2434,15.0247%
1,455,13,2431,15.0062%
1,519,2,2390,14.7531%
1,502,2,2357,14.5494%
1,567,11,2351,14.5123%
1,501,9,2342,14.4568%
1,569,12,2331,14.3889%
1,595,14,2255,13.9198%
1,565,14,2245,13.858%
1,565,10,2224,13.7284%
1,566,5,2205,13.6111%
1,575,7,2200,13.5802%
1,585,10,2183,13.4753%
1,591,7,2181,13.463%
1,447,4,2177,13.4383%
1,30,10,2170,13.3951%
1,530,1,2162,13.3457%
1,576,9,2145,13.2407%
1,565,4,2127,13.1296%
1,578,1,2124,13.1111%
1,569,13,2120,13.0864%
1,588,3,2107,13.0062%
1,597,11,2100,12.963%
1,522,6,2098,12.9506%
1,251,5,2083,12.858%
1,519,6,2078,12.8272%
1,578,8,2044,12.6173%
1,576,2,2039,12.5864%
1,597,12,2037,12.5741%
1,550,9,2030,12.5309%
1,595,13,2012,12.4198%
1,446,3,2002,12.358%
1,576,8,1998,12.3333%
1,579,7,1994,12.3086%
1,504,15,1992,12.2963%
1,575,3,1988,12.2716%
1,559,1,1984,12.2469%
1,585,15,1975,12.1914%
1,544,11,1972,12.1728%
1,321,1,1962,12.1111%
1,507,7,1960,12.0988%
1,584,14,1951,12.0432%
1,591,3,1933,11.9321%
1,550,10,1924,11.8765%
1,135,10,1918,11.8395%
1,585,4,1899,11.7222%
1,552,15,1895,11.6975%
1,579,4,1894,11.6914%
1,357,12,1889,11.6605%
1,452,9,1883,11.6235%
1,567,8,1879,11.5988%
1,566,6,1874,11.5679%
1,504,13,1869,11.537%
1,584,1,1867,11.5247%
1,559,10,1864,11.5062%
1,576,6,1855,11.4506%
1,578,2,1853,11.4383%
1,569,11,1852,11.4321%
1,597,14,1847,11.4012%
1,536,1,1844,11.3827%
1,576,4,1843,11.3765%
1,135,14,1842,11.3704%
1,577,13,1841,11.3642%
1,560,11,1831,11.3025%
1,568,1,1822,11.2469%
1,577,9,1818,11.2222%
1,585,6,1817,11.216%
1,568,4,1814,11.1975%
1,117,15,1813,11.1914%
1,90,15,1811,11.179%
1,575,10,1808,11.1605%
1,566,7,1795,11.0802%
1,350,2,1773,10.9444%
1,152,7,1772,10.9383%
1,565,6,1770,10.9259%
1,6,15,1769,10.9198%
1,118,7,1766,10.9012%
1,252,6,1764,10.8889%
1,552,4,1751,10.8086%
1,369,8,1746,10.7778%
1,584,5,1743,10.7593%
1,304,13,1731,10.6852%
1,499,8,1725,10.6481%
1,584,4,1722,10.6296%
1,562,4,1720,10.6173%
1,511,7,1719,10.6111%
1,174,13,1715,10.5864%
1,508,7,1707,10.537%
1,251,7,1700,10.4938%
1,457,10,1696,10.4691%
1,454,9,1691,10.4383%
1,579,11,1689,10.4259%
1,591,6,1687,10.4136%
1,579,6,1685,10.4012%
1,367,6,1684,10.3951%
1,579,2,1680,10.3704%
1,19,14,1678,10.358%
1,550,11,1671,10.3148%
1,453,8,1666,10.284%
1,487,11,1658,10.2346%
1,117,8,1656,10.2222%
1,77,11,1649,10.179%
1,502,3,1647,10.1667%
1,591,10,1644,10.1481%
1,537,13,1643,10.142%
1,562,13,1638,10.1111%
1,130,1,1628,10.0494%
1,588,1,1626,10.037%
1,458,2,1625,10.0309%
1,521,6,1624,10.0247%
1,107,9,1622,10.0123%
1,576,5,1621,10.0062%
1,156,1,1619,9.99383%
1,594,3,1611,9.94444%
1,578,6,1605,9.90741%
1,309,7,1604,9.90123%
1,534,6,1603,9.89506%
1,562,6,1598,9.8642%
1,377,7,1595,9.84568%
1,156,5,1593,9.83333%
1,452,10,1589,9.80864%
1,552,11,1588,9.80247%
1,239,1,1586,9.79012%
1,239,2,1581,9.75926%
1,585,8,1576,9.7284%
1,575,1,1575,9.72222%
1,452,1,1574,9.71605%
1,568,3,1563,9.64815%
1,582,4,1554,9.59259%
1,516,4,1549,9.56173%
1,371,5,1548,9.55556%
1,251,2,1547,9.54938%
1,595,12,1546,9.54321%
1,585,14,1543,9.52469%
1,449,2,1535,9.47531%
1,448,1,1534,9.46914%
1,589,8,1528,9.4321%
1,434,13,1527,9.42593%
1,87,14,1521,9.38889%
1,27,15,1520,9.38272%
1,499,3,1517,9.3642%
1,455,1,1507,9.30247%
1,594,13,1506,9.2963%
1,501,13,1505,9.29012%
1,304,9,1500,9.25926%
1,354,6,1492,9.20988%
1,521,4,1490,9.19753%
1,550,3,1477,9.11728%
1,123,1,1475,9.10494%
1,597,9,1473,9.09259%
1,507,9,1468,9.06173%
1,583,3,1463,9.03086%
1,521,1,1458,9%
1,522,3,1453,8.96914%
1,345,13,1447,8.9321%
1,575,12,1445,8.91975%
1,585,13,1439,8.88272%
1,286,7,1436,8.8642%
1,123,12,1435,8.85802%
1,567,1,1432,8.83951%
1,585,7,1431,8.83333%
1,107,12,1429,8.82099%
1,596,14,1427,8.80864%
1,213,2,1426,8.80247%
1,283,10,1425,8.7963%
1,566,4,1424,8.79012%
1,286,6,1422,8.77778%
1,564,4,1419,8.75926%
1,574,3,1415,8.73457%
1,559,14,1406,8.67901%
1,452,2,1401,8.64815%
1,519,1,1399,8.6358%
